"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Validate that every link contains the corresponding ID","","2026-01-14","passed","2026-01-14","Order flow","orderValidation.spec.js","",""
"","6995","Create order successfully and Validate the response","","2026-01-14","failed","2026-01-14","Order flow","orderValidation.spec.js","",""
"","1","Order creation - Validate the orderID","","2026-01-14","passed","2026-01-14","Order flow","orderValidation.spec.js","",""
